id,lon,lat,주차장,주정차,sumpark_sl,sumhouse_n,count,대중교?,sumbd_area,count_1,가점1,가점2,가점3,ADM_DR_NM,sum인구?,area,인구밀?,등록대?,경도_sum,위도_sum,주차원단위,법정원단위,가점4,순위
"575",129.10748,35.12937,"0",0.00000,,,,"0",1226.2999999999999545,1.0000000000000000,"0","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",516.432600,140.516280,14.399670,7.293690,"0","254"
"606",129.11017,35.13819,"0",0.00000,,,,"0",,,"0","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",,,,,"0","334"
"607",129.11017,35.13598,"0",0.00000,,,,"1",,,"0","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",,,,,"0","334"
"608",129.11017,35.13378,"1",350.00000,2446.00000,1149.00000,10.00000,"0",147217.3451999999815598,3.0000000000000000,"0","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",774.662500,210.800640,19.510960,10.494070,"9","54"
"609",129.11017,35.13157,"0",5.00000,,,,"0",85804.8788999999960652,7.0000000000000000,"0","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",1807.539100,491.839990,50.118780,24.932870,"0","209"
"642",129.11287,35.13598,"0",0.00000,,,,"0",,,"0","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",,,,,"0","334"
"677",129.11556,35.13598,"0",0.00000,,,,"0",,,"0","0","0",대연3동,24254.000000000000000,"5424588",4471.122999999999593,"2541",,,,,"0","334"
"259",129.08322,35.13157,"0",0.00000,,2.00000,47.00000,"0",1734.8200000000008458,36.0000000000000000,"5","0","0",대연4동,8698.000000000000000,"1226245",7093.198999999999614,"2541",5421.474100,1475.561620,26.346700,18.976680,"42","232"
"260",129.08322,35.12937,"1",0.00000,3.00000,69.00000,10.00000,"0",,,"0","3","0",대연4동,8698.000000000000000,"1226245",7093.198999999999614,"2541",516.334900,140.514080,553.168680,272.643080,"7","93"
"294",129.08592,35.13157,"16",0.00000,502.00000,471.00000,106.00000,"0",54922.4969999999884749,88.0000000000000000,"0","3","2",대연4동,8698.000000000000000,"1226245",7093.198999999999614,"2541",12908.633300,3513.176770,44.912460,33.111280,"101","109"
"295",129.08592,35.12937,"3",39.00000,64.00000,49.00000,65.00000,"2",13507.8850000000020373,46.0000000000000000,"0","11","0",대연4동,8698.000000000000000,"1226245",7093.198999999999614,"2541",7357.925300,2002.335660,363.233260,188.726510,"54","132"
"296",129.08592,35.12717,"6",3.00000,23.00000,47.00000,116.00000,"0",11737.2000000000007276,83.0000000000000000,"3","6","0",대연4동,8698.000000000000000,"1226245",7093.198999999999614,"2541",12779.477700,3477.643390,9047.857360,4398.269630,"107","4"
"297",129.08592,35.12496,"8",0.00000,63.00000,138.00000,96.00000,"0",22942.4099999999998545,70.0000000000000000,"0","3","0",대연4동,8698.000000000000000,"1226245",7093.198999999999614,"2541",10326.910800,2809.959150,217.691090,120.899990,"92","141"
